filename,path,width,height,class,xmin,ymin,xmax,ymax
1.jpg,UECFOOD256/42/1.jpg,800,600,jiaozi,363,91,800,560
10.jpg,UECFOOD256/1/10.jpg,700,467,rice,71,16,478,328
100.jpg,UECFOOD256/2/100.jpg,313,234,eels on rice,23,0,293,227
1000.jpg,UECFOOD256/11/1000.jpg,309,205,bibimbap,11,6,236,203
100031.jpg,UECFOOD256/137/100031.jpg,480,360,mozuku,16,30,456,325
100037.jpg,UECFOOD256/137/100037.jpg,508,339,mozuku,100,36,428,283
100060.jpg,UECFOOD256/137/100060.jpg,577,432,mozuku,45,28,488,399
10007.jpg,UECFOOD256/114/10007.jpg,577,433,pancake,9,16,562,414
100085.jpg,UECFOOD256/137/100085.jpg,565,424,mozuku,56,61,496,383
1001.jpg,UECFOOD256/11/1001.jpg,277,201,bibimbap,19,13,231,192
100125.jpg,UECFOOD256/153/100125.jpg,612,408,lasagna,21,18,590,375
100163.jpg,UECFOOD256/155/100163.jpg,500,500,oatmeal,20,37,484,481
100169.jpg,UECFOOD256/153/100169.jpg,512,488,lasagna,16,46,502,467
1002.jpg,UECFOOD256/11/1002.jpg,195,148,bibimbap,14,5,178,144
100208.jpg,UECFOOD256/123/100208.jpg,313,325,mushroom risotto,3,8,302,319
100225.jpg,UECFOOD256/155/100225.jpg,500,500,oatmeal,45,39,475,435
100238.jpg,UECFOOD256/155/100238.jpg,500,500,oatmeal,35,93,456,475
100246.jpg,UECFOOD256/123/100246.jpg,400,266,mushroom risotto,3,1,380,247
100260.jpg,UECFOOD256/155/100260.jpg,500,500,oatmeal,12,8,493,479
100272.jpg,UECFOOD256/123/100272.jpg,500,407,mushroom risotto,9,6,481,371
100296.jpg,UECFOOD256/149/100296.jpg,500,500,nachos,10,10,495,481
100297.jpg,UECFOOD256/155/100297.jpg,500,500,oatmeal,15,18,495,483
1003.jpg,UECFOOD256/11/1003.jpg,200,185,bibimbap,0,0,200,185
100310.jpg,UECFOOD256/153/100310.jpg,612,408,lasagna,17,15,598,387
100327.jpg,UECFOOD256/123/100327.jpg,640,390,mushroom risotto,12,11,596,375
100336.jpg,UECFOOD256/123/100336.jpg,577,433,mushroom risotto,75,97,467,423
100353.jpg,UECFOOD256/153/100353.jpg,578,432,lasagna,14,36,561,412
1004.jpg,UECFOOD256/11/1004.jpg,220,165,bibimbap,16,0,215,152
100417.jpg,UECFOOD256/155/100417.jpg,500,500,oatmeal,7,12,490,481
100423.jpg,UECFOOD256/155/100423.jpg,500,500,oatmeal,75,66,448,437
10043.jpg,UECFOOD256/116/10043.jpg,577,433,crape,68,23,531,431
100432.jpg,UECFOOD256/155/100432.jpg,500,500,oatmeal,43,43,451,454
100481.jpg,UECFOOD256/153/100481.jpg,577,433,lasagna,77,34,512,339
100484.jpg,UECFOOD256/155/100484.jpg,500,500,oatmeal,29,41,476,470
1005.jpg,UECFOOD256/11/1005.jpg,230,230,bibimbap,0,27,230,201
10050.jpg,UECFOOD256/121/10050.jpg,577,432,chop suey,286,185,567,421
100514.jpg,UECFOOD256/149/100514.jpg,500,500,nachos,17,35,485,477
100518.jpg,UECFOOD256/149/100518.jpg,500,500,nachos,6,6,492,487
100547.jpg,UECFOOD256/125/100547.jpg,612,408,zoni,86,51,445,304
100550.jpg,UECFOOD256/153/100550.jpg,433,577,lasagna,10,16,405,543
100567.jpg,UECFOOD256/125/100567.jpg,613,407,zoni,42,78,544,379
1006.jpg,UECFOOD256/11/1006.jpg,320,240,bibimbap,28,14,290,228
100608.jpg,UECFOOD256/155/100608.jpg,433,577,oatmeal,6,60,416,528
100648.jpg,UECFOOD256/149/100648.jpg,577,433,nachos,5,5,573,422
100678.jpg,UECFOOD256/125/100678.jpg,611,408,zoni,122,23,483,297
1007.jpg,UECFOOD256/11/1007.jpg,220,150,bibimbap,0,0,220,150
100719.jpg,UECFOOD256/155/100719.jpg,577,433,oatmeal,30,30,567,409
100725.jpg,UECFOOD256/155/100725.jpg,577,432,oatmeal,14,9,573,417
10076.jpg,UECFOOD256/124/10076.jpg,432,578,samul,33,96,400,450
10079.jpg,UECFOOD256/121/10079.jpg,500,500,chop suey,7,93,434,491
1008.jpg,UECFOOD256/11/1008.jpg,200,150,bibimbap,0,0,200,150
100807.jpg,UECFOOD256/155/100807.jpg,500,500,oatmeal,14,8,492,483
10087.jpg,UECFOOD256/114/10087.jpg,500,375,pancake,25,6,446,320
