filename,path,width,height,class,xmin,ymin,xmax,ymax
51157.jpg,UECFOOD256/178/51157.jpg,612,408,glutinous oil rice,61,10,560,399
191854.jpg,UECFOOD256/137/191854.jpg,500,500,mozuku,37,83,456,441
340580.jpg,UECFOOD256/256/340580.jpg,611,409,hot & sour soup,122,56,563,352
153949.jpg,UECFOOD256/162/153949.jpg,500,500,apple pie,12,31,487,479
10635.jpg,UECFOOD256/83/10635.jpg,360,480,cutlet curry,1,90,360,391
98782.jpg,UECFOOD256/149/98782.jpg,577,433,nachos,61,12,537,422
4028.jpg,UECFOOD256/41/4028.jpg,350,350,ganmodoki,5,84,322,280
1928.jpg,UECFOOD256/20/1928.jpg,640,480,udon noodle,124,20,609,454
213825.jpg,UECFOOD256/216/213825.jpg,612,408,loco moco,42,22,598,396
12656.jpg,UECFOOD256/3/12656.jpg,250,188,pilaf,40,0,240,151
187806.jpg,UECFOOD256/129/187806.jpg,500,500,pot au feu,6,133,460,475
11887.jpg,UECFOOD256/87/11887.jpg,240,180,green salad,4,15,234,171
10936.jpg,UECFOOD256/13/10936.jpg,360,480,croissant,0,1,360,480
11241.jpg,UECFOOD256/23/11241.jpg,360,480,ramen noodle,0,42,346,421
109426.jpg,UECFOOD256/160/109426.jpg,500,500,cream puff,4,2,492,452
12684.jpg,UECFOOD256/95/12684.jpg,600,450,pizza toast,2,4,579,441
93591.jpg,UECFOOD256/112/93591.jpg,480,319,kushikatu,19,15,442,299
38185.jpg,UECFOOD256/154/38185.jpg,500,500,Caesar salad,3,2,498,487
323323.jpg,UECFOOD256/244/323323.jpg,613,407,kung pao chicken,15,91,549,356
30539.jpg,UECFOOD256/144/30539.jpg,577,400,thinly sliced raw horsemeat,9,8,569,388
3837.jpg,UECFOOD256/39/3837.jpg,800,600,oden,176,72,626,478
4542.jpg,UECFOOD256/46/4542.jpg,300,255,grilled salmon,34,106,274,177
5102.jpg,UECFOOD256/51/5102.jpg,680,452,sweet and sour pork,0,0,648,430
130205.jpg,UECFOOD256/187/130205.jpg,500,500,stir-fried mixed vegetables,79,97,401,435
76418.jpg,UECFOOD256/117/76418.jpg,500,500,tiramisu,6,6,481,435
6905.jpg,UECFOOD256/68/6905.jpg,332,480,egg sunny-side up,8,276,252,438
178504.jpg,UECFOOD256/181/178504.jpg,551,453,lemon fig jelly,17,13,494,424
74246.jpg,UECFOOD256/113/74246.jpg,600,359,yellow curry,16,14,571,347
11497.jpg,UECFOOD256/23/11497.jpg,270,480,ramen noodle,0,105,256,391
8829.jpg,UECFOOD256/83/8829.jpg,480,640,cutlet curry,0,108,480,488
5675.jpg,UECFOOD256/56/5675.jpg,190,164,sirloin cutlet,0,0,150,135
185266.jpg,UECFOOD256/124/185266.jpg,577,433,samul,16,16,562,420
338200.jpg,UECFOOD256/256/338200.jpg,577,433,hot & sour soup,32,21,537,414
222560.jpg,UECFOOD256/225/222560.jpg,613,407,churro,68,118,561,354
334317.jpg,UECFOOD256/256/334317.jpg,400,301,hot & sour soup,75,22,392,298
5575.jpg,UECFOOD256/55/5575.jpg,640,480,fried chicken,65,89,542,468
180397.jpg,UECFOOD256/195/180397.jpg,408,612,charcoal-boiled pork neck,21,147,386,576
14750.jpg,UECFOOD256/28/14750.jpg,640,480,Japanese-style pancake,84,4,512,418
11081.jpg,UECFOOD256/78/11081.jpg,480,360,fish-shaped pancake with bean jam,27,0,417,354
205905.jpg,UECFOOD256/205/205905.jpg,500,375,coconut milk soup,50,6,492,331
233292.jpg,UECFOOD256/227/233292.jpg,572,437,nasi goreng,48,49,498,380
2137.jpg,UECFOOD256/22/2137.jpg,300,225,soba noodle,27,12,274,108
2159.jpg,UECFOOD256/22/2159.jpg,300,225,soba noodle,0,6,222,207
334459.jpg,UECFOOD256/248/334459.jpg,600,400,bean curd family style,15,11,598,386
15577.jpg,UECFOOD256/77/15577.jpg,640,380,sushi bowl,148,11,516,363
335596.jpg,UECFOOD256/251/335596.jpg,606,411,braised pork meat ball with napa cabbage,64,17,566,332
12078.jpg,UECFOOD256/89/12078.jpg,640,480,Japanese tofu and vegetable chowder,44,36,602,480
63598.jpg,UECFOOD256/188/63598.jpg,551,427,beef in oyster sauce,44,26,513,393
10766.jpg,UECFOOD256/124/10766.jpg,577,433,samul,14,27,566,400
244413.jpg,UECFOOD256/197/244413.jpg,612,408,Deep Fried Chicken Wing,24,22,581,385
233.jpg,UECFOOD256/3/233.jpg,196,147,pilaf,17,19,187,131
9746.jpg,UECFOOD256/116/9746.jpg,500,500,crape,37,31,462,462
3176.jpg,UECFOOD256/32/3176.jpg,180,135,croquette,0,6,158,128
131222.jpg,UECFOOD256/129/131222.jpg,433,577,pot au feu,4,40,414,557
212703.jpg,UECFOOD256/218/212703.jpg,500,375,malasada,43,12,465,367
311796.jpg,UECFOOD256/204/311796.jpg,433,577,Egg Noodle In Chicken Yellow Curry,32,96,408,476
216461.jpg,UECFOOD256/217/216461.jpg,612,408,haupia,55,20,537,391
213961.jpg,UECFOOD256/216/213961.jpg,577,433,loco moco,34,39,562,418
60925.jpg,UECFOOD256/160/60925.jpg,433,577,cream puff,4,14,430,555
12706.jpg,UECFOOD256/95/12706.jpg,640,480,pizza toast,8,8,620,458
25930.jpg,UECFOOD256/140/25930.jpg,577,433,pork fillet cutlet,64,108,558,411
209615.jpg,UECFOOD256/188/209615.jpg,577,433,beef in oyster sauce,39,14,562,400
8242.jpg,UECFOOD256/78/8242.jpg,480,320,fish-shaped pancake with bean jam,81,23,429,286
4767.jpg,UECFOOD256/48/4767.jpg,800,600,sashimi,47,78,693,522
248674.jpg,UECFOOD256/235/248674.jpg,500,500,nasi campur,18,72,482,456
98700.jpg,UECFOOD256/117/98700.jpg,549,454,tiramisu,10,3,540,431
237142.jpg,UECFOOD256/229/237142.jpg,333,500,ayam bakar,8,33,316,437
187153.jpg,UECFOOD256/125/187153.jpg,612,407,zoni,22,10,571,401
1646.jpg,UECFOOD256/17/1646.jpg,180,240,hamburger,6,48,180,240
68648.jpg,UECFOOD256/101/68648.jpg,557,448,green curry,13,16,539,436
61703.jpg,UECFOOD256/184/61703.jpg,500,500,Thai papaya salad,23,50,482,472
327764.jpg,UECFOOD256/249/327764.jpg,500,404,salt & pepper fried shrimp with shell,20,11,459,390
267986.jpg,UECFOOD256/220/267986.jpg,407,613,spam musubi,10,58,404,526
11234.jpg,UECFOOD256/6/11234.jpg,480,360,beef curry,0,55,480,360
14728.jpg,UECFOOD256/36/14728.jpg,320,240,miso soup,170,7,251,87
502.jpg,UECFOOD256/6/502.jpg,300,300,beef curry,0,111,300,288
44802.jpg,UECFOOD256/145/44802.jpg,577,433,bagel,37,10,497,429
302282.jpg,UECFOOD256/224/302282.jpg,500,500,brownie,46,37,426,433
335510.jpg,UECFOOD256/252/335510.jpg,433,577,winter melon soup,40,189,386,516
97799.jpg,UECFOOD256/130/97799.jpg,400,300,chicken nugget,23,36,378,232
8330.jpg,UECFOOD256/78/8330.jpg,500,361,fish-shaped pancake with bean jam,0,0,500,361
55155.jpg,UECFOOD256/174/55155.jpg,550,417,pork cutlet,12,27,522,396
308889.jpg,UECFOOD256/182/308889.jpg,500,500,khao soi,37,54,485,472
290761.jpg,UECFOOD256/236/290761.jpg,500,500,nasi padang,12,16,487,487
